price_reduced_amount,year_built,sold_date,sold_price,lot_sqft,sqft,baths,garage,stories,beds,type,postal_code,state,city,central_air,central_heat,fireplace,rental_property,community_outdoor_space,energy_efficient,community_security_features,recreation_facilities,carport,dishwasher,washer_dryer,laundry_room,floor_plan,ensuite,shopping,hardwood_floors,high_ceiling,community_swimming_pool,modern_kitchen,open_floor_plan,fenced_yard,new_roof,front_porch,groundscare,basement,updated_kitchen,corner_lot,farm,park,ranch,trails,forced_air,dining_room,family_room,view
16000.0,2016,2024-01-12,267500.0,6094.0,1729.0,2,2,1,3,single_family,73142,Oklahoma,Edmond,True,True,True,False,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5000.0,1968,2024-01-12,200000.0,8185.0,1629.0,3,2,1,3,single_family,73109,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1952,2024-01-12,163000.0,7614.0,924.0,1,1,1,2,single_family,73116,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1948,2024-01-12,172500.0,8350.0,916.0,1,1,1,2,single_family,73112,Oklahoma,Oklahoma City,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False
0.0,2023,2024-01-12,380000.0,9239.0,2075.0,3,3,1,4,single_family,73099,Oklahoma,Yukon,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2023,2024-01-12,280000.0,7841.0,1295.0,2,2,1,3,single_family,73170,Oklahoma,Oklahoma City,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,1961,2024-01-12,147000.0,8777.0,1016.0,1,2,1,3,single_family,73114,Oklahoma,Oklahoma City,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,2002,2024-01-12,339000.0,10350.0,2427.0,2,3,1,3,single_family,73012,Oklahoma,Edmond,True,True,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1977,2024-01-12,360000.0,6050.0,3535.0,4,2,2,3,single_family,73132,Oklahoma,Oklahoma City,True,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0.0,1997,2024-01-12,165000.0,218236.0,1216.0,2,0,1,3,single_family,73099,Oklahoma,Yukon,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,1989,2024-01-11,178000.0,436.0,1050.0,1,0,1,2,condo,12203,New York,Albany,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0.0,1977,2024-01-10,245000.0,6098.0,1040.0,1,0,1,3,single_family,12205,New York,Albany,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False
0.0,1984,2024-01-09,185000.0,436.0,1540.0,3,0,1,2,condo,12203,New York,Albany,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
12700.0,1920,2024-01-09,191500.0,3049.0,1340.0,2,1,2,3,single_family,12209,New York,Albany,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,1930,2024-01-09,365000.0,3920.0,1608.0,3,2,1,5,single_family,12205,New York,Albany,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False
0.0,1988,2024-01-08,205000.0,7841.0,1275.0,3,0,1,2,condo,12203,New York,Albany,True,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False
0.0,1930,2024-01-08,277875.0,6534.0,1632.0,2,0,1,4,single_family,12208,New York,Albany,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
0.0,1955,2024-01-08,326000.0,14375.0,1920.0,3,2,1,4,single_family,12209,New York,Albany,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False
0.0,1904,2024-01-08,115000.0,139043520.0,1848.0,2,0,1,4,multi_family,12206,New York,Albany,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
